mse,psnr,ssim,a-gcnr,h-gcnr,cvar,jitter_factor,charge_injection_factor,clock_feedthrough_factor,gain_error_factor,f0_mhz,fs_mhz,ch_compression
2885.7037226666666,13.528286211569206,0.8144881974060231,0.19045898395610866,0.0815729384734103,0.09357742737118872,0.0,0.0,0.0,inf,2.5,50.0,10
2844.4367573333334,13.590840786778088,0.7579870121862516,0.13771111968961003,0.049130790549188896,0.10325736819144542,0.0,0.0,0.0,inf,2.5,50.0,10
2752.722517333333,13.733179254515495,0.7395418194656262,0.1149884221747769,0.024312545530202956,0.10425447969600496,0.0,0.0,0.0,inf,2.5,50.0,10
2845.880903111111,13.588636394709866,0.7818157407029732,0.1921180911746896,0.058255677202853684,0.10188302488920108,0.0,0.0,0.0,inf,2.5,50.0,10
2942.4239715555555,13.443751108173377,0.7717179539194093,0.16964938028065046,0.058361316023795684,0.10418390491181953,0.0,0.0,0.0,inf,2.5,50.0,10
2925.875968,13.46824449042699,0.7356465543780477,0.16405830966605184,0.0640881536522121,0.09883742860345149,0.0,0.0,0.0,inf,2.5,50.0,10
2884.7978097777777,13.529649812184335,0.7454323325910627,0.1906765070106981,0.06401873311702622,0.10460303689539101,0.0,0.0,0.0,inf,2.5,50.0,10
2845.2089955555557,13.589661877526964,0.7663305941727973,0.14346879164718535,0.05496681998282188,0.09465280658164453,0.0,0.0,0.0,inf,2.5,50.0,10
2866.7288817777776,13.556937389767095,0.7473322853847819,0.157030814969901,0.06137965980789528,0.10215971506093247,0.0,0.0,0.0,inf,2.5,50.0,10
2910.6568675555554,13.490893506577937,0.77683616605206,0.18252782736337925,0.06186720980746674,0.10420847438461793,0.0,0.0,0.0,inf,2.5,50.0,10
2845.1673386666666,13.58972546332838,0.7627065931819215,0.17752680647943775,0.04377999015562889,0.09781639691692111,0.0,0.0,0.0,inf,2.5,50.0,10
2860.0382577777777,13.567085182875909,0.7791488921751067,0.1738110697517135,0.06999536067338707,0.10706548817285644,0.0,0.0,0.0,inf,2.5,50.0,10
2884.8587093333335,13.529558131368184,0.7887582314098396,0.17098933508115693,0.07103034450619417,0.08921133616888328,0.0,0.0,0.0,inf,2.5,50.0,10
2865.4654151111113,13.558851897831087,0.7595250830566164,0.20067519017312324,0.048016383318710276,0.10182815260062936,0.0,0.0,0.0,inf,2.5,50.0,10
2800.6454897777776,13.658222222611387,0.755159733110807,0.1424039934499574,0.035311866047640916,0.10238794990290609,0.0,0.0,0.0,inf,2.5,50.0,10
2870.6490026666665,13.551002667775062,0.777559354410746,0.1551673658877823,0.05469415143709816,0.08436858451716753,0.0,0.0,0.0,inf,2.5,50.0,10
2921.160832,13.475248920397782,0.7842001190178497,0.156127082791647,0.06969060873084215,0.08084623207292338,0.0,0.0,0.0,inf,2.5,50.0,10
2786.072576,13.680879354469496,0.7606432923812948,0.14141500444968047,0.02625848399080738,0.10085159290419154,0.0,0.0,0.0,inf,2.5,50.0,10
2927.6094293333335,13.465672235906595,0.8060976554539675,0.1727901383137071,0.0716506370624777,0.07966122811757617,0.0,0.0,0.0,inf,2.5,50.0,10
2918.2747733333335,13.479541799162615,0.7417323432640713,0.18131973664446666,0.062219269085474815,0.11336150505640107,0.0,0.0,0.0,inf,2.5,50.0,10
2835.645589333333,13.604284108784437,0.7575564073829006,0.15046371942729964,0.03835674369121195,0.10571737252898919,0.0,0.0,0.0,inf,2.5,50.0,10
2885.291086222222,13.52890726820535,0.7824793716283479,0.17435018544740766,0.06891264926383212,0.10448875535431584,0.0,0.0,0.0,inf,2.5,50.0,10
2891.8168746666665,13.519095732273856,0.7696753607322546,0.17808056538085298,0.0469691271897863,0.12084873333123877,0.0,0.0,0.0,inf,2.5,50.0,10
2856.1030897777778,13.573064818136267,0.7766897573587787,0.1827700997754499,0.05816364299905985,0.10599489199019244,0.0,0.0,0.0,inf,2.5,50.0,10
2771.8014933333334,13.703182364566121,0.7463921062512302,0.11798763656046829,0.04075706223135844,0.11036106986011592,0.0,0.0,0.0,inf,2.5,50.0,10
2788.982407111111,13.676345861209223,0.7446145370576684,0.17096607086798726,0.046980748962981045,0.10059413001713327,0.0,0.0,0.0,inf,2.5,50.0,10
2852.0313244444446,13.579260697166017,0.7638039826162079,0.19644367384440403,0.04702281066138331,0.08959943397919391,0.0,0.0,0.0,inf,2.5,50.0,10
2879.771320888889,13.537223585320067,0.8016869174428759,0.18291711936397337,0.055892597868465066,0.07625046179675019,0.0,0.0,0.0,inf,2.5,50.0,10
2765.2709902222223,13.71342663277349,0.7321610568661381,0.13473368089752907,0.029248467499177144,0.1147553134498193,0.0,0.0,0.0,inf,2.5,50.0,10
2849.684465777778,13.58283585897274,0.7726761405657718,0.1521643415957568,0.032420315742549444,0.11139853648591301,0.0,0.0,0.0,inf,2.5,50.0,10
2802.3939413333333,13.65551175485032,0.7455921475027353,0.14505515077385883,0.04480074683086244,0.10262715472813982,0.0,0.0,0.0,inf,2.5,50.0,10
2446.5842773333334,14.245201803998258,0.8691669381286179,0.19914791110366958,0.1060595074129756,0.0,0.020880251733465967,0.0,0.0,inf,2.5,50.0,10
